checkpoint,step,language,task,num_pairs,accuracy,pair_accuracy
step_005000,5000,original,overall,1280,0.627734375,0.26171875
step_005000,5000,original,pooled_distractor,888,0.5157657657657657,0.04054054054054054
step_005000,5000,original,simple,392,0.8813775510204082,0.7627551020408163
step_005000,5000,original,pp_attractor,296,0.5152027027027027,0.04054054054054054
step_005000,5000,original,object_relative,304,0.5164473684210527,0.046052631578947366
step_005000,5000,original,subject_relative,288,0.515625,0.034722222222222224
step_005000,5000,clone,overall,1280,0.590234375,0.1984375
step_005000,5000,clone,pooled_distractor,888,0.4988738738738739,0.02252252252252252
step_005000,5000,clone,simple,392,0.7971938775510204,0.5969387755102041
step_005000,5000,clone,pp_attractor,296,0.4864864864864865,0.013513513513513514
step_005000,5000,clone,object_relative,304,0.5082236842105263,0.03289473684210526
step_005000,5000,clone,subject_relative,288,0.5017361111111112,0.020833333333333332
step_015000,15000,original,overall,1280,0.673828125,0.3484375
step_015000,15000,original,pooled_distractor,888,0.5540540540540541,0.10923423423423423
step_015000,15000,original,simple,392,0.9451530612244898,0.8903061224489796
step_015000,15000,original,pp_attractor,296,0.5996621621621622,0.20270270270270271
step_015000,15000,original,object_relative,304,0.53125,0.0625
step_015000,15000,original,subject_relative,288,0.53125,0.0625
step_015000,15000,clone,overall,1280,0.651171875,0.30234375
step_015000,15000,clone,pooled_distractor,888,0.5518018018018018,0.1036036036036036
step_015000,15000,clone,simple,392,0.8762755102040817,0.7525510204081632
step_015000,15000,clone,pp_attractor,296,0.5777027027027027,0.1554054054054054
step_015000,15000,clone,object_relative,304,0.5444078947368421,0.08881578947368421
step_015000,15000,clone,subject_relative,288,0.5329861111111112,0.06597222222222222
step_030000,30000,original,overall,1280,0.70390625,0.41015625
step_030000,30000,original,pooled_distractor,888,0.6013513513513513,0.20608108108108109
step_030000,30000,original,simple,392,0.9362244897959183,0.8724489795918368
step_030000,30000,original,pp_attractor,296,0.6570945945945946,0.31756756756756754
step_030000,30000,original,object_relative,304,0.5608552631578947,0.125
step_030000,30000,original,subject_relative,288,0.5868055555555556,0.17708333333333334
step_030000,30000,clone,overall,1280,0.695703125,0.39296875
step_030000,30000,clone,pooled_distractor,888,0.6171171171171171,0.23648648648648649
step_030000,30000,clone,simple,392,0.8737244897959183,0.7474489795918368
step_030000,30000,clone,pp_attractor,296,0.6570945945945946,0.31756756756756754
step_030000,30000,clone,object_relative,304,0.5921052631578947,0.1875
step_030000,30000,clone,subject_relative,288,0.6024305555555556,0.2048611111111111
step_050000,50000,original,overall,1280,0.75,0.5
step_050000,50000,original,pooled_distractor,888,0.6751126126126126,0.3502252252252252
step_050000,50000,original,simple,392,0.9196428571428571,0.8392857142857143
step_050000,50000,original,pp_attractor,296,0.714527027027027,0.42905405405405406
step_050000,50000,original,object_relative,304,0.65625,0.3125
step_050000,50000,original,subject_relative,288,0.6545138888888888,0.3090277777777778
step_050000,50000,clone,overall,1280,0.73046875,0.4609375
step_050000,50000,clone,pooled_distractor,888,0.6509009009009009,0.30180180180180183
step_050000,50000,clone,simple,392,0.9107142857142857,0.8214285714285714
step_050000,50000,clone,pp_attractor,296,0.7043918918918919,0.40878378378378377
step_050000,50000,clone,object_relative,304,0.6414473684210527,0.28289473684210525
step_050000,50000,clone,subject_relative,288,0.6059027777777778,0.21180555555555555
step_065000,65000,original,overall,1280,0.775390625,0.5515625
step_065000,65000,original,pooled_distractor,888,0.7010135135135135,0.40315315315315314
step_065000,65000,original,simple,392,0.9438775510204082,0.8877551020408163
step_065000,65000,original,pp_attractor,296,0.7162162162162162,0.43243243243243246
step_065000,65000,original,object_relative,304,0.7055921052631579,0.4144736842105263
step_065000,65000,original,subject_relative,288,0.6805555555555556,0.3611111111111111
step_065000,65000,clone,overall,1280,0.722265625,0.44453125
step_065000,65000,clone,pooled_distractor,888,0.6570945945945946,0.3141891891891892
step_065000,65000,clone,simple,392,0.8698979591836735,0.7397959183673469
step_065000,65000,clone,pp_attractor,296,0.6807432432432432,0.3614864864864865
step_065000,65000,clone,object_relative,304,0.6414473684210527,0.28289473684210525
step_065000,65000,clone,subject_relative,288,0.6493055555555556,0.2986111111111111
best,77500,original,overall,1280,0.7671875,0.53515625
best,77500,original,pooled_distractor,888,0.6920045045045045,0.38513513513513514
best,77500,original,simple,392,0.9375,0.875
best,77500,original,pp_attractor,296,0.7195945945945946,0.4391891891891892
best,77500,original,object_relative,304,0.6990131578947368,0.40131578947368424
best,77500,original,subject_relative,288,0.65625,0.3125
best,77500,clone,overall,1280,0.752734375,0.50546875
best,77500,clone,pooled_distractor,888,0.6734234234234234,0.34684684684684686
best,77500,clone,simple,392,0.9323979591836735,0.8647959183673469
best,77500,clone,pp_attractor,296,0.7128378378378378,0.42567567567567566
best,77500,clone,object_relative,304,0.6529605263157895,0.3059210526315789
best,77500,clone,subject_relative,288,0.6545138888888888,0.3090277777777778
