checkpoint,step,direction,control,task,num_examples,mean_delta_ld
step_005000,5000,original_to_original,clean,pooled_distractor,888,0.0019112696518769135
step_005000,5000,original_to_original,opposite-number,pooled_distractor,888,4.4032260104342624e-08
step_005000,5000,original_to_original,same-number-shuffled,pooled_distractor,888,0.0015554127392468152
step_005000,5000,original_to_original,opposite-number-shuffled,pooled_distractor,888,0.0007996338981765884
step_005000,5000,clone_to_clone,clean,pooled_distractor,888,0.020417245927157702
step_005000,5000,clone_to_clone,opposite-number,pooled_distractor,888,3.436664203265766e-08
step_005000,5000,clone_to_clone,same-number-shuffled,pooled_distractor,888,0.019632880483661685
step_005000,5000,clone_to_clone,opposite-number-shuffled,pooled_distractor,888,0.00027919245195818376
step_005000,5000,original_to_clone,clean,pooled_distractor,888,0.008816307460939561
step_005000,5000,original_to_clone,opposite-number,pooled_distractor,888,0.00953531855935449
step_005000,5000,original_to_clone,same-number-shuffled,pooled_distractor,888,0.008672603078790614
step_005000,5000,original_to_clone,opposite-number-shuffled,pooled_distractor,888,0.010928033439962714
step_005000,5000,clone_to_original,clean,pooled_distractor,888,0.004267211969908293
step_005000,5000,clone_to_original,opposite-number,pooled_distractor,888,0.0008980948645789344
step_005000,5000,clone_to_original,same-number-shuffled,pooled_distractor,888,0.003854457322541658
step_005000,5000,clone_to_original,opposite-number-shuffled,pooled_distractor,888,0.0002307038049440126
step_015000,15000,original_to_original,clean,pooled_distractor,888,0.005025574215897569
step_015000,15000,original_to_original,opposite-number,pooled_distractor,888,1.1115460782437711e-07
step_015000,15000,original_to_original,same-number-shuffled,pooled_distractor,888,0.006962010452339241
step_015000,15000,original_to_original,opposite-number-shuffled,pooled_distractor,888,0.0005288387204075719
step_015000,15000,clone_to_clone,clean,pooled_distractor,888,0.35027893276901934
step_015000,15000,clone_to_clone,opposite-number,pooled_distractor,888,-7.517702944643862e-09
step_015000,15000,clone_to_clone,same-number-shuffled,pooled_distractor,888,0.34991089073387355
step_015000,15000,clone_to_clone,opposite-number-shuffled,pooled_distractor,888,0.0007279901891141324
step_015000,15000,original_to_clone,clean,pooled_distractor,888,0.17535766180571136
step_015000,15000,original_to_clone,opposite-number,pooled_distractor,888,0.17767477518803365
step_015000,15000,original_to_clone,same-number-shuffled,pooled_distractor,888,0.17657847984417066
step_015000,15000,original_to_clone,opposite-number-shuffled,pooled_distractor,888,0.17671390965178208
step_015000,15000,clone_to_original,clean,pooled_distractor,888,0.028799428059174133
step_015000,15000,clone_to_original,opposite-number,pooled_distractor,888,-0.015632932250564162
step_015000,15000,clone_to_original,same-number-shuffled,pooled_distractor,888,0.031030834795118454
step_015000,15000,clone_to_original,opposite-number-shuffled,pooled_distractor,888,-0.017602301395691192
step_030000,30000,original_to_original,clean,pooled_distractor,888,0.15164850638793395
step_030000,30000,original_to_original,opposite-number,pooled_distractor,888,-1.3102282274950733e-07
step_030000,30000,original_to_original,same-number-shuffled,pooled_distractor,888,0.1485722387159193
step_030000,30000,original_to_original,opposite-number-shuffled,pooled_distractor,888,0.0010886122514535716
step_030000,30000,clone_to_clone,clean,pooled_distractor,888,0.45546551652856776
step_030000,30000,clone_to_clone,opposite-number,pooled_distractor,888,-1.5303895280167863e-07
step_030000,30000,clone_to_clone,same-number-shuffled,pooled_distractor,888,0.4452274189339028
step_030000,30000,clone_to_clone,opposite-number-shuffled,pooled_distractor,888,0.012151204787933075
step_030000,30000,original_to_clone,clean,pooled_distractor,888,0.24166011864000614
step_030000,30000,original_to_clone,opposite-number,pooled_distractor,888,0.2125174424669764
step_030000,30000,original_to_clone,same-number-shuffled,pooled_distractor,888,0.24045189168002154
step_030000,30000,original_to_clone,opposite-number-shuffled,pooled_distractor,888,0.21225976138501554
step_030000,30000,clone_to_original,clean,pooled_distractor,888,0.16395433851190516
step_030000,30000,clone_to_original,opposite-number,pooled_distractor,888,0.007479638666720004
