checkpoint,step,direction,control,task,site,selection,num_examples,mean
step_005000,5000,original_to_original,opposite-number,pooled_distractor,L8H3,pre_registered,888,0.0019112256196168092
step_005000,5000,original_to_original,opposite-number,pooled_distractor,L10H2,dev_ranked,888,-0.0027726571839134973
step_005000,5000,original_to_original,opposite-number,pooled_distractor,L9H0,dev_ranked,888,-0.0008318966573423093
step_005000,5000,original_to_original,opposite-number,pooled_distractor,L11H7,dev_ranked,888,0.0026591769209853163
step_005000,5000,original_to_original,opposite-number,pooled_distractor,L8H0,dev_ranked,888,-0.003691960025478054
step_005000,5000,original_to_original,opposite-number,pooled_distractor,L11H0,dev_ranked,888,0.008173254159119752
step_005000,5000,original_to_original,opposite-number,simple,L8H3,pre_registered,392,0.0014981372015816824
step_005000,5000,original_to_original,opposite-number,simple,L10H2,dev_ranked,392,-0.005194831867607272
step_005000,5000,original_to_original,opposite-number,simple,L9H0,dev_ranked,392,-0.0038638200078691754
step_005000,5000,original_to_original,opposite-number,simple,L11H7,dev_ranked,392,0.00630481024177707
step_005000,5000,original_to_original,opposite-number,simple,L8H0,dev_ranked,392,0.0005401007983149315
step_005000,5000,original_to_original,opposite-number,simple,L11H0,dev_ranked,392,0.030056410906266193
step_005000,5000,original_to_original,opposite-number,pp_attractor,L8H3,pre_registered,296,0.002387747571275041
step_005000,5000,original_to_original,opposite-number,pp_attractor,L10H2,dev_ranked,296,-0.0037525360648696486
step_005000,5000,original_to_original,opposite-number,pp_attractor,L9H0,dev_ranked,296,-0.0008849807687707849
step_005000,5000,original_to_original,opposite-number,pp_attractor,L11H7,dev_ranked,296,0.002847260720021016
step_005000,5000,original_to_original,opposite-number,pp_attractor,L8H0,dev_ranked,296,-0.003729701042175293
step_005000,5000,original_to_original,opposite-number,pp_attractor,L11H0,dev_ranked,296,0.01125568151473999
step_005000,5000,original_to_original,opposite-number,object_relative,L8H3,pre_registered,304,0.0013442133602343108
step_005000,5000,original_to_original,opposite-number,object_relative,L10H2,dev_ranked,304,-0.0027466573213276112
step_005000,5000,original_to_original,opposite-number,object_relative,L9H0,dev_ranked,304,-0.0006633432287918893
step_005000,5000,original_to_original,opposite-number,object_relative,L11H7,dev_ranked,304,0.002825584850813213
step_005000,5000,original_to_original,opposite-number,object_relative,L8H0,dev_ranked,304,-0.0033818687263287997
step_005000,5000,original_to_original,opposite-number,object_relative,L11H0,dev_ranked,304,0.004127154224797299
step_005000,5000,original_to_original,opposite-number,subject_relative,L8H3,pre_registered,288,0.002019979887538486
step_005000,5000,original_to_original,opposite-number,subject_relative,L10H2,dev_ranked,288,-0.0017930037445492214
step_005000,5000,original_to_original,opposite-number,subject_relative,L9H0,dev_ranked,288,-0.0009552554951773749
step_005000,5000,original_to_original,opposite-number,subject_relative,L11H7,dev_ranked,288,0.0022902157571580675
step_005000,5000,original_to_original,opposite-number,subject_relative,L8H0,dev_ranked,288,-0.003980489240752326
step_005000,5000,original_to_original,opposite-number,subject_relative,L11H0,dev_ranked,288,0.009276087085405985
step_005000,5000,original_to_original,opposite-number-shuffled,pooled_distractor,L8H3,pre_registered,888,0.0011116357537003252
step_005000,5000,original_to_original,opposite-number-shuffled,pooled_distractor,L10H2,dev_ranked,888,-0.0029314777872583887
step_005000,5000,original_to_original,opposite-number-shuffled,pooled_distractor,L9H0,dev_ranked,888,-0.0011474769394676965
step_005000,5000,original_to_original,opposite-number-shuffled,pooled_distractor,L11H7,dev_ranked,888,0.002416112401463964
step_005000,5000,original_to_original,opposite-number-shuffled,pooled_distractor,L8H0,dev_ranked,888,-0.004098519548639521
step_005000,5000,original_to_original,opposite-number-shuffled,pooled_distractor,L11H0,dev_ranked,888,0.008168645270235904
step_005000,5000,original_to_original,opposite-number-shuffled,simple,L8H3,pre_registered,392,0.0007726039205278669
step_005000,5000,original_to_original,opposite-number-shuffled,simple,L10H2,dev_ranked,392,-0.0052501790377558494
step_005000,5000,original_to_original,opposite-number-shuffled,simple,L9H0,dev_ranked,392,-0.003035173124196578
step_005000,5000,original_to_original,opposite-number-shuffled,simple,L11H7,dev_ranked,392,0.005926216135219652
step_005000,5000,original_to_original,opposite-number-shuffled,simple,L8H0,dev_ranked,392,0.00021714458660203583
step_005000,5000,original_to_original,opposite-number-shuffled,simple,L11H0,dev_ranked,392,0.030329413559972023
step_005000,5000,original_to_original,opposite-number-shuffled,pp_attractor,L8H3,pre_registered,296,-0.0011413822302947174
step_005000,5000,original_to_original,opposite-number-shuffled,pp_attractor,L10H2,dev_ranked,296,-0.004547053092234844
step_005000,5000,original_to_original,opposite-number-shuffled,pp_attractor,L9H0,dev_ranked,296,-0.0014989569380476667
step_005000,5000,original_to_original,opposite-number-shuffled,pp_attractor,L11H7,dev_ranked,296,0.004458638461860451
step_005000,5000,original_to_original,opposite-number-shuffled,pp_attractor,L8H0,dev_ranked,296,-0.005208371458826838
step_005000,5000,original_to_original,opposite-number-shuffled,pp_attractor,L11H0,dev_ranked,296,0.01144044624792563
step_005000,5000,original_to_original,opposite-number-shuffled,object_relative,L8H3,pre_registered,304,0.0012673829731188323
step_005000,5000,original_to_original,opposite-number-shuffled,object_relative,L10H2,dev_ranked,304,-0.004027087437479119
step_005000,5000,original_to_original,opposite-number-shuffled,object_relative,L9H0,dev_ranked,304,-0.0005709591664766011
step_005000,5000,original_to_original,opposite-number-shuffled,object_relative,L11H7,dev_ranked,304,0.0016447148824992933
