checkpoint,step,direction,layer,head,mean
step_005000,5000,original_to_clone,0,0,0.0028091285142812644
step_005000,5000,original_to_clone,0,1,0.007934075486552608
step_005000,5000,original_to_clone,0,2,0.005753080318639944
step_005000,5000,original_to_clone,0,3,7.185850057516011e-05
step_005000,5000,original_to_clone,0,4,-0.008691367265340444
step_005000,5000,original_to_clone,0,5,-0.0013042342018436742
step_005000,5000,original_to_clone,0,6,-0.0017005814625336243
step_005000,5000,original_to_clone,0,7,-0.002919957175985113
step_005000,5000,original_to_clone,1,0,0.0016382733980814617
step_005000,5000,original_to_clone,1,1,-0.00032601619625950717
step_005000,5000,original_to_clone,1,2,0.0005577241515254115
step_005000,5000,original_to_clone,1,3,0.0006198453473615217
step_005000,5000,original_to_clone,1,4,0.0016512492218533077
step_005000,5000,original_to_clone,1,5,0.00018229812115162344
step_005000,5000,original_to_clone,1,6,0.002883794608416858
step_005000,5000,original_to_clone,1,7,-0.00028553766173285405
step_005000,5000,original_to_clone,2,0,0.0004951851861970919
step_005000,5000,original_to_clone,2,1,-0.0005363996501441474
step_005000,5000,original_to_clone,2,2,4.910456167685019e-05
step_005000,5000,original_to_clone,2,3,0.0007005728579856254
step_005000,5000,original_to_clone,2,4,0.00029534208881962405
step_005000,5000,original_to_clone,2,5,-0.0004988156997405731
step_005000,5000,original_to_clone,2,6,-0.00016245541271862684
step_005000,5000,original_to_clone,2,7,0.0015188557607633574
step_005000,5000,original_to_clone,3,0,0.00012938960178478345
step_005000,5000,original_to_clone,3,1,-0.0012355924726606489
step_005000,5000,original_to_clone,3,2,0.0002779394119709462
step_005000,5000,original_to_clone,3,3,-0.003075485830908423
step_005000,5000,original_to_clone,3,4,-0.0012607523449906359
step_005000,5000,original_to_clone,3,5,-0.00019092763866390193
step_005000,5000,original_to_clone,3,6,0.0007546992452294977
step_005000,5000,original_to_clone,3,7,-0.0012717247009277344
step_005000,5000,original_to_clone,4,0,-0.0014544204548672514
step_005000,5000,original_to_clone,4,1,-0.0016422951006674553
step_005000,5000,original_to_clone,4,2,-0.0017724794310492438
step_005000,5000,original_to_clone,4,3,-0.002269955637218716
step_005000,5000,original_to_clone,4,4,-0.00047338894895605137
step_005000,5000,original_to_clone,4,5,-6.934087555687706e-05
step_005000,5000,original_to_clone,4,6,-0.0006862502914291244
step_005000,5000,original_to_clone,4,7,0.0007936753131247855
step_005000,5000,original_to_clone,5,0,0.0007155320128879032
step_005000,5000,original_to_clone,5,1,-0.004144619714032422
step_005000,5000,original_to_clone,5,2,-0.0009066639719782648
step_005000,5000,original_to_clone,5,3,0.004059450583414988
step_005000,5000,original_to_clone,5,4,-0.008083641260593862
step_005000,5000,original_to_clone,5,5,0.0003104910657212541
step_005000,5000,original_to_clone,5,6,-0.0002764801721315126
step_005000,5000,original_to_clone,5,7,-0.004726008520470009
step_005000,5000,original_to_clone,6,0,-0.0005174743699597883
step_005000,5000,original_to_clone,6,1,-0.002214070107485797
step_005000,5000,original_to_clone,6,2,-0.002561283004176509
step_005000,5000,original_to_clone,6,3,-0.005773448729300284
step_005000,5000,original_to_clone,6,4,0.00024265426773208756
step_005000,5000,original_to_clone,6,5,-0.001949487237242965
step_005000,5000,original_to_clone,6,6,-0.0012325835120570552
step_005000,5000,original_to_clone,6,7,-0.0028081359090031803
step_005000,5000,original_to_clone,7,0,0.0032854252033405478
step_005000,5000,original_to_clone,7,1,0.0006730873305518348
step_005000,5000,original_to_clone,7,2,0.004746449691755278
step_005000,5000,original_to_clone,7,3,0.006652302301681794
step_005000,5000,original_to_clone,7,4,0.0057034073649226006
step_005000,5000,original_to_clone,7,5,0.0015131965413823858
step_005000,5000,original_to_clone,7,6,0.00033414068522754015
step_005000,5000,original_to_clone,7,7,-0.004280313178225681
step_005000,5000,original_to_clone,8,0,0.0034368346940289746
step_005000,5000,original_to_clone,8,1,0.0029508831264736415
step_005000,5000,original_to_clone,8,2,0.000501035838513761
step_005000,5000,original_to_clone,8,3,-0.0021117259790231517
step_005000,5000,original_to_clone,8,4,-0.00098585438083958
