direction,control,task,layer,head,num_examples,mean_observed,mean_control,mean_difference,ci_low,ci_high,bootstrap_p_two_sided,iterations,seed,holm_p
clone_to_clone,opposite-number,pooled_distractor,8,3,888,0.49433207565599735,1.6592644356392525e-07,0.49433190972955376,0.47431740670859274,0.5153060534515896,0.0,10000,8072,
clone_to_clone,opposite-number,simple,8,3,392,0.10081490448543004,-6.325390874123087e-08,0.10081496773933878,0.09429618488160932,0.10751800518863054,0.0,10000,8073,
clone_to_clone,opposite-number,pp_attractor,8,3,296,0.5926855013177201,3.1252165098448056e-07,0.5926851887960691,0.5512324915544407,0.6361099073613011,0.0,10000,8074,0.0
clone_to_clone,opposite-number,object_relative,8,3,304,0.3933200679327312,1.552857850727282e-07,0.39331991264694616,0.37347075833301796,0.4142931790728318,0.0,10000,8075,0.0
clone_to_clone,opposite-number,subject_relative,8,3,288,0.4998703963226742,2.6490953233506943e-08,0.499870369831721,0.46172564518120557,0.5386290241032838,0.0,10000,8076,0.0
clone_to_original,opposite-number,pooled_distractor,8,3,888,0.4576997343484346,0.22182313171592918,0.2358766026325054,0.22574490030875077,0.24612329281396694,0.0,10000,108072,
clone_to_original,opposite-number,simple,8,3,392,0.08781334453699541,0.06280613067198773,0.025007213865007673,0.02182223994512947,0.02819332690263281,0.0,10000,108073,
clone_to_original,opposite-number,pp_attractor,8,3,296,0.454075537823342,0.21357911664086418,0.2404964211824778,0.22079133697458217,0.2620781356418455,0.0,10000,108074,0.0
clone_to_original,opposite-number,object_relative,8,3,304,0.4065998839704614,0.18603978658977308,0.22056009738068832,0.20535792982891987,0.2361119519330953,0.0,10000,108075,0.0
clone_to_original,opposite-number,subject_relative,8,3,288,0.5153633339537514,0.26806745595402187,0.24729587799972957,0.23020014324122007,0.2646261511163579,0.0,10000,108076,0.0
original_to_clone,opposite-number,pooled_distractor,8,3,888,0.2810438431061066,0.24312494520668512,0.03791889789942149,0.030954336462257145,0.04496085807546839,0.0,10000,208072,
